Brand,Product_description,price,discount_percentage,Link
PERY-PAO ,White Casual Shoes Sneakers For Men  (White),₹437,56% off,https://www.flipkart.com/pery-pao-white-casual-shoes-sneakers-men/p/itm4eeb5d611940d?pid=SHOFKXUHJ8BNSZCK&lid=LSTSHOFKXUHJ8BNSZCKUTGFPM&marketplace=FLIPKART&srno=s_2_67&otracker=search&otracker1=search&fm=organic&iid=9d7aac87-7c46-40b8-b09b-3533d3ef4816.SHOFKXUHJ8BNSZCK.SEARCH&ssid=h24ejg9tsw0000001611754406039&qH=a1743c0d39461290
Robbie Jones ,Sneakers For Men  (Black),₹499,50% off,https://www.flipkart.com/robbie-jones-sneakers-men/p/itm71828864239ee?pid=SHOFWVUDSWMBMN4Q&lid=LSTSHOFWVUDSWMBMN4QLEXCTP&marketplace=FLIPKART&srno=s_2_68&otracker=search&otracker1=search&fm=organic&iid=9d7aac87-7c46-40b8-b09b-3533d3ef4816.SHOFWVUDSWMBMN4Q.SEARCH&ssid=h24ejg9tsw0000001611754406039&qH=a1743c0d39461290
ADIDAS ,EASY VULC 2.0 Sneakers For Men  (Black),"₹1,759",56% off,https://www.flipkart.com/adidas-easy-vulc-2-0-sneakers-men/p/itmfhwp9f5bkbh4g?pid=SHOFU43P2JGPXFHP&lid=LSTSHOFU43P2JGPXFHPBXVUMB&marketplace=FLIPKART&srno=s_2_69&otracker=search&otracker1=search&fm=organic&iid=9d7aac87-7c46-40b8-b09b-3533d3ef4816.SHOFU43P2JGPXFHP.SEARCH&ssid=h24ejg9tsw0000001611754406039&qH=a1743c0d39461290
Ducati ,Sneakers For Men  (Black),"₹2,099",43% off,https://www.flipkart.com/ducati-sneakers-men/p/itmfgnnhzgcesyz7?pid=SHOFGNKZGHG4C8BY&lid=LSTSHOFGNKZGHG4C8BYQ27G4W&marketplace=FLIPKART&srno=s_2_70&otracker=search&otracker1=search&fm=organic&iid=en_%2BDasr3sdXt9jxD4xxUBeUcuvt73On1eS5btUb4TRE7Xs5ku27GrVWXSi33EU3GrafYgs9iPYj2kRwNQkSdmylg%3D%3D&ssid=h24ejg9tsw0000001611754406039&qH=a1743c0d39461290
Essence ,Sneakers For Men  (Navy),₹579,42% off,https://www.flipkart.com/essence-sneakers-men/p/itmf3xqa3mf5eszu?pid=SHOEYJF7F5URECNE&lid=LSTSHOEYJF7F5URECNEAIKUPK&marketplace=FLIPKART&srno=s_2_71&otracker=search&otracker1=search&fm=organic&iid=9d7aac87-7c46-40b8-b09b-3533d3ef4816.SHOEYJF7F5URECNE.SEARCH&ssid=h24ejg9tsw0000001611754406039&qH=a1743c0d39461290
Robbie jones ,Casual Sneakers Shoes For Men Sneakers For Men  (White),₹499,50% off,https://www.flipkart.com/robbie-jones-casual-sneakers-shoes-men/p/itm6db4ca9f97aaf?pid=SHOFYW3GG6ACYGZ4&lid=LSTSHOFYW3GG6ACYGZ4WDLZ8A&marketplace=FLIPKART&srno=s_2_72&otracker=search&otracker1=search&fm=organic&iid=9d7aac87-7c46-40b8-b09b-3533d3ef4816.SHOFYW3GG6ACYGZ4.SEARCH&ssid=h24ejg9tsw0000001611754406039&qH=a1743c0d39461290
Skechers ,SUMMITS - BRISBANE Sneakers For Men  (Black),"₹3,009",30% off,https://www.flipkart.com/skechers-summits-brisbane-sneakers-men/p/itm811b61f6bed55?pid=SHOFUHGGHT2RU4FG&lid=LSTSHOFUHGGHT2RU4FGOIWT8Z&marketplace=FLIPKART&srno=s_2_73&otracker=search&otracker1=search&fm=organic&iid=9d7aac87-7c46-40b8-b09b-3533d3ef4816.SHOFUHGGHT2RU4FG.SEARCH&ssid=h24ejg9tsw0000001611754406039&qH=a1743c0d39461290
Marc Ecko ,Sneakers For Men  (Grey),"₹1,020",53% off,https://www.flipkart.com/marc-ecko-sneakers-men/p/itm1fe7af62b43b2?pid=SHOFJY3B5FHP6TJ4&lid=LSTSHOFJY3B5FHP6TJ4DLCKOP&marketplace=FLIPKART&srno=s_2_74&otracker=search&otracker1=search&fm=organic&iid=en_%2BDasr3sdXt9jxD4xxUBeUcuvt73On1eS5btUb4TRE7Uufo8Ju2lGHQvcC7jgmmkcgIpTpswbAj3%2BzTnJCr6KPw%3D%3D&ssid=h24ejg9tsw0000001611754406039&qH=a1743c0d39461290
Adiso ,Casual shoes Sneakers For Men  (White),₹399,60% off,https://www.flipkart.com/adiso-casual-shoes-sneakers-men/p/itmf79zvzhkvdqag?pid=SHOF79H5TDH8D7Q2&lid=LSTSHOF79H5TDH8D7Q2VZQDMZ&marketplace=FLIPKART&srno=s_2_75&otracker=search&otracker1=search&fm=organic&iid=9d7aac87-7c46-40b8-b09b-3533d3ef4816.SHOF79H5TDH8D7Q2.SEARCH&ssid=h24ejg9tsw0000001611754406039&qH=a1743c0d39461290
D-SNEAKERZ ,"Casual , Partywear Sneakers Shoes For Men's And Boys White Color Sneakers For Men  (White)",₹385,61% off,https://www.flipkart.com/d-sneakerz-casual-partywear-sneakers-shoes-men-s-boys-white-color-men/p/itmf3yysmcgaff2q?pid=SHOFFT2ZAMFVYJGQ&lid=LSTSHOFFT2ZAMFVYJGQCFTOI3&marketplace=FLIPKART&srno=s_2_76&otracker=search&otracker1=search&fm=organic&iid=9d7aac87-7c46-40b8-b09b-3533d3ef4816.SHOFFT2ZAMFVYJGQ.SEARCH&ssid=h24ejg9tsw0000001611754406039&qH=a1743c0d39461290
GANPATI TRADERS ,TRENDY SNEKEARS FOR MEN Sneakers For Men  (Blue),₹199,60% off,https://www.flipkart.com/ganpati-traders-trendy-snekears-men-sneakers/p/itm51d4f4d580a10?pid=SHOFYYZCGUUK6BBU&lid=LSTSHOFYYZCGUUK6BBU7XIDEJ&marketplace=FLIPKART&srno=s_2_77&otracker=search&otracker1=search&fm=organic&iid=9d7aac87-7c46-40b8-b09b-3533d3ef4816.SHOFYYZCGUUK6BBU.SEARCH&ssid=h24ejg9tsw0000001611754406039&qH=a1743c0d39461290
Edoeviv ,Sneakers For Men  (White),₹499,37% off,https://www.flipkart.com/edoeviv-sneakers-men/p/itmd1409af2e286e?pid=SHOFYP3XEUSQ39ZU&lid=LSTSHOFYP3XEUSQ39ZUOSGPXC&marketplace=FLIPKART&srno=s_2_78&otracker=search&otracker1=search&fm=organic&iid=9d7aac87-7c46-40b8-b09b-3533d3ef4816.SHOFYP3XEUSQ39ZU.SEARCH&ssid=h24ejg9tsw0000001611754406039&qH=a1743c0d39461290
Creer ,STYLISH Sneakers For Men  (White),₹398,60% off,https://www.flipkart.com/creer-stylish-sneakers-men/p/itmfgbmuqekamqtu?pid=SHOFGB9HJDMW8PXP&lid=LSTSHOFGB9HJDMW8PXPZVMZJA&marketplace=FLIPKART&srno=s_2_79&otracker=search&otracker1=search&fm=organic&iid=9d7aac87-7c46-40b8-b09b-3533d3ef4816.SHOFGB9HJDMW8PXP.SEARCH&ssid=h24ejg9tsw0000001611754406039&qH=a1743c0d39461290
French Connection ,Sneakers For Men  (Brown),"₹1,499",34% off,https://www.flipkart.com/french-connection-sneakers-men/p/itmfeqdghgfakkhg?pid=SHOFE6AUH2GHX3TF&lid=LSTSHOFE6AUH2GHX3TFDABIZU&marketplace=FLIPKART&srno=s_2_80&otracker=search&otracker1=search&fm=organic&iid=en_%2BDasr3sdXt9jxD4xxUBeUcuvt73On1eS5btUb4TRE7VLWv3wVwwjYXTO2WVmobwHUyCIZr63bWOG6B6jDDdSvQ%3D%3D&ssid=h24ejg9tsw0000001611754406039&qH=a1743c0d39461290
Chevit ,Smart Casuals Canvas Shoes Combo pack of 2 Sneakers For Men  (Multicolor),₹299,70% off,https://www.flipkart.com/chevit-smart-casuals-canvas-shoes-combo-pack-2-sneakers-men/p/itm1a786ac446c21?pid=SHOFZWYJCHG9DAZS&lid=LSTSHOFZWYJCHG9DAZSD88SDG&marketplace=FLIPKART&srno=s_3_81&otracker=search&otracker1=search&fm=organic&iid=0c7ce0e4-0695-429a-8e7c-899050b9255f.SHOFZWYJCHG9DAZS.SEARCH&ssid=15jzp1qfuo0000001611754414942&qH=a1743c0d39461290
BUCIK ,Sneakers For Men  (Black),₹445,77% off,https://www.flipkart.com/bucik-sneakers-men/p/itmdf60069607f46?pid=SHOFTCA5BPG8J469&lid=LSTSHOFTCA5BPG8J469RAGVNX&marketplace=FLIPKART&srno=s_3_82&otracker=search&otracker1=search&fm=organic&iid=0c7ce0e4-0695-429a-8e7c-899050b9255f.SHOFTCA5BPG8J469.SEARCH&ssid=15jzp1qfuo0000001611754414942&qH=a1743c0d39461290
Birde ,Combo Pack of 2 Casual Shoes Sneakers For Men  (Multicolor),₹699,53% off,https://www.flipkart.com/birde-combo-pack-2-casual-shoes-sneakers-men/p/itm4c2053e45abf2?pid=SHOFYZFYNHKWVAPB&lid=LSTSHOFYZFYNHKWVAPB5RH78B&marketplace=FLIPKART&srno=s_3_83&otracker=search&otracker1=search&fm=organic&iid=0c7ce0e4-0695-429a-8e7c-899050b9255f.SHOFYZFYNHKWVAPB.SEARCH&ssid=15jzp1qfuo0000001611754414942&qH=a1743c0d39461290
French Connection ,Sneakers For Men  (Grey),"₹2,058",48% off,https://www.flipkart.com/french-connection-sneakers-men/p/itm716d13e1a2815?pid=SHOFGEQ8HYHEFHWG&lid=LSTSHOFGEQ8HYHEFHWGUVZ0JV&marketplace=FLIPKART&srno=s_3_84&otracker=search&otracker1=search&fm=organic&iid=en_oTjubeuw%2BE7%2B6MAObqcefUusWfHpS8mnqcFmHJOeO5Riem6A%2Flf9KVceEdXmYZWaroSMSfBUJnBm3j%2BP07ckxw%3D%3D&ssid=15jzp1qfuo0000001611754414942&qH=a1743c0d39461290
RICHERSON ,CAUSAL SHOES FOR MEN Sneakers For Men  (Black),₹479,52% off,https://www.flipkart.com/richerson-causal-shoes-men-sneakers/p/itmdd125439e1fcf?pid=SHOFVBVQVHE7YZ5H&lid=LSTSHOFVBVQVHE7YZ5HS0DLDZ&marketplace=FLIPKART&srno=s_3_85&otracker=search&otracker1=search&fm=organic&iid=0c7ce0e4-0695-429a-8e7c-899050b9255f.SHOFVBVQVHE7YZ5H.SEARCH&ssid=15jzp1qfuo0000001611754414942&qH=a1743c0d39461290
Essence ,Sneakers For Men  (Blue),₹579,42% off,https://www.flipkart.com/essence-sneakers-men/p/itmf7txcbzh4emnr?pid=SHOF7TS7HN4YMWD7&lid=LSTSHOF7TS7HN4YMWD7MC73PZ&marketplace=FLIPKART&srno=s_3_86&otracker=search&otracker1=search&fm=organic&iid=0c7ce0e4-0695-429a-8e7c-899050b9255f.SHOF7TS7HN4YMWD7.SEARCH&ssid=15jzp1qfuo0000001611754414942&qH=a1743c0d39461290
ARDEO ,NEW WHITE TRENDY SNEAKERS FOR MEN Sneakers For Men  (White),₹379,62% off,https://www.flipkart.com/ardeo-new-white-trendy-sneakers-men/p/itm48a4b5388892a?pid=SHOFVMKHHNF3FCYT&lid=LSTSHOFVMKHHNF3FCYTHCGDHX&marketplace=FLIPKART&srno=s_3_87&otracker=search&otracker1=search&fm=organic&iid=0c7ce0e4-0695-429a-8e7c-899050b9255f.SHOFVMKHHNF3FCYT.SEARCH&ssid=15jzp1qfuo0000001611754414942&qH=a1743c0d39461290
Sparx ,"SM-322 Sneakers For Men  (Blue, Grey)",₹769,23% off,https://www.flipkart.com/sparx-sm-322-sneakers-men/p/itm04d01629290b9?pid=SHOFFTAE4XGQFAUX&lid=LSTSHOFFTAE4XGQFAUX0H2TVX&marketplace=FLIPKART&srno=s_3_88&otracker=search&otracker1=search&fm=organic&iid=0c7ce0e4-0695-429a-8e7c-899050b9255f.SHOFFTAE4XGQFAUX.SEARCH&ssid=15jzp1qfuo0000001611754414942&qH=a1743c0d39461290
Black Bottom ,Fashion Outdoor Canvas Casual Light Weight Partywear Sneakers Shoes For Men's And Boys Sneakers Casuals For Men  Sneakers For Men  (White),₹399,60% off,https://www.flipkart.com/black-bottom-fashion-outdoor-canvas-casual-light-weight-partywear-sneakers-shoes-men-s-boys-casuals-men-men/p/itmfcb72b1070d24?pid=SHOFUZNKHFYVKGQF&lid=LSTSHOFUZNKHFYVKGQF3R08FN&marketplace=FLIPKART&srno=s_3_89&otracker=search&otracker1=search&fm=organic&iid=0c7ce0e4-0695-429a-8e7c-899050b9255f.SHOFUZNKHFYVKGQF.SEARCH&ssid=15jzp1qfuo0000001611754414942&qH=a1743c0d39461290
Marc Ecko ,Sneakers For Men  (Grey),"₹1,049",52% off,https://www.flipkart.com/marc-ecko-sneakers-men/p/itm3f7e94ff2b755?pid=SHOFJY3BH9869E53&lid=LSTSHOFJY3BH9869E53L6EBCC&marketplace=FLIPKART&srno=s_3_90&otracker=search&otracker1=search&fm=organic&iid=en_oTjubeuw%2BE7%2B6MAObqcefUusWfHpS8mnqcFmHJOeO5QiedCPbWZX0JELRO7OExRVIZvSfEnXtTe02MEzlPKL%2Fw%3D%3D&ssid=15jzp1qfuo0000001611754414942&qH=a1743c0d39461290
Bersache ,"Combo Pack of 5 Top Rated, Best Rates Training Shoes Sneakers For Men  (Multicolor)",₹759,69% off,https://www.flipkart.com/bersache-combo-pack-5-top-rated-best-rates-training-shoes-sneakers-men/p/itm0901590530421?pid=SHOFJ6HYW9TZYGZZ&lid=LSTSHOFJ6HYW9TZYGZZ9AZVVD&marketplace=FLIPKART&srno=s_3_91&otracker=search&otracker1=search&fm=organic&iid=0c7ce0e4-0695-429a-8e7c-899050b9255f.SHOFJ6HYW9TZYGZZ.SEARCH&ssid=15jzp1qfuo0000001611754414942&qH=a1743c0d39461290
bluemaker ,casual for men Sneakers For Men  (Black),₹549,45% off,https://www.flipkart.com/bluemaker-casual-men-sneakers/p/itm3694200bdaf02?pid=SHOFP4YX5H5U8B4C&lid=LSTSHOFP4YX5H5U8B4CTQS2SF&marketplace=FLIPKART&srno=s_3_92&otracker=search&otracker1=search&fm=organic&iid=0c7ce0e4-0695-429a-8e7c-899050b9255f.SHOFP4YX5H5U8B4C.SEARCH&ssid=15jzp1qfuo0000001611754414942&qH=a1743c0d39461290
Wrizt ,"Fashionable Durable Breathable Running shoes for boys | sports shoes for men | Latest Stylish Casual sport shoes for men | Lace up Lightweight Orange shoes for running,jogging,training, walking, gym, trekking, hiking & party Running Shoes Sneakers For Men  (Orange)",₹369,63% off,https://www.flipkart.com/wrizt-fashionable-durable-breathable-running-shoes-boys-sports-men-latest-stylish-casual-sport-lace-up-lightweight-orange-running-jogging-training-walking-gym-trekking-hiking-party-sneakers/p/itm536468256e318?pid=SHOFU9HZYZFBGDGA&lid=LSTSHOFU9HZYZFBGDGAHS1KJ6&marketplace=FLIPKART&srno=s_3_93&otracker=search&otracker1=search&fm=organic&iid=0c7ce0e4-0695-429a-8e7c-899050b9255f.SHOFU9HZYZFBGDGA.SEARCH&ssid=15jzp1qfuo0000001611754414942&qH=a1743c0d39461290
layasa ,"Walking shoes,Casual Sneakers For Men  (Green)",₹378,62% off,https://www.flipkart.com/layasa-walking-shoes-casual-sneakers-men/p/itmd9bac97d76b9b?pid=SHOFT6WUHZTSTA4G&lid=LSTSHOFT6WUHZTSTA4GF5S9CR&marketplace=FLIPKART&srno=s_3_94&otracker=search&otracker1=search&fm=organic&iid=en_oTjubeuw%2BE7%2B6MAObqcefUusWfHpS8mnqcFmHJOeO5QVeAQfl2lLbUAO4O04UYQ5D3ygcf3Wj5UMZOvGAVOFrA%3D%3D&ssid=15jzp1qfuo0000001611754414942&qH=a1743c0d39461290
Chevit ,"Trendy Fashion Lightweight Combo Pack of 02 Pairs Casuals Sneakers For Men  (Green, Yellow)",₹499,61% off,https://www.flipkart.com/chevit-trendy-fashion-lightweight-combo-pack-02-pairs-casuals-sneakers-men/p/itmb354e5df157b8?pid=SHOFWFZ7GXPZTEWB&lid=LSTSHOFWFZ7GXPZTEWBFA4LMS&marketplace=FLIPKART&srno=s_3_95&otracker=search&otracker1=search&fm=organic&iid=0c7ce0e4-0695-429a-8e7c-899050b9255f.SHOFWFZ7GXPZTEWB.SEARCH&ssid=15jzp1qfuo0000001611754414942&qH=a1743c0d39461290
Rockfield ,Sneakers For Men  (Multicolor),₹399,60% off,https://www.flipkart.com/rockfield-sneakers-men/p/itm740c0a57a7e7b?pid=SHOFV275BWB6HZXY&lid=LSTSHOFV275BWB6HZXY45RJAJ&marketplace=FLIPKART&srno=s_3_96&otracker=search&otracker1=search&fm=organic&iid=0c7ce0e4-0695-429a-8e7c-899050b9255f.SHOFV275BWB6HZXY.SEARCH&ssid=15jzp1qfuo0000001611754414942&qH=a1743c0d39461290
Kzaara ,Sneakers For Men  (Brown),₹284,43% off,https://www.flipkart.com/kzaara-sneakers-men/p/itmf3yycsuqgubmq?pid=SHOENE7RGSZAQ5RF&lid=LSTSHOENE7RGSZAQ5RFDBNNT1&marketplace=FLIPKART&srno=s_3_97&otracker=search&otracker1=search&fm=organic&iid=0c7ce0e4-0695-429a-8e7c-899050b9255f.SHOENE7RGSZAQ5RF.SEARCH&ssid=15jzp1qfuo0000001611754414942&qH=a1743c0d39461290
MOU ,Zar Check Sneakers Sneakers For Men  (Multicolor),₹523,47% off,https://www.flipkart.com/mou-zar-check-sneakers-men/p/itmf4edskhhxxyvr?pid=SHOF4E87RFEU57YA&lid=LSTSHOF4E87RFEU57YAVD3T5V&marketplace=FLIPKART&srno=s_3_98&otracker=search&otracker1=search&fm=organic&iid=0c7ce0e4-0695-429a-8e7c-899050b9255f.SHOF4E87RFEU57YA.SEARCH&ssid=15jzp1qfuo0000001611754414942&qH=a1743c0d39461290
Fabbmate ,  Combo of Men's Casual Shoes.(Pack of 3) Sneakers For Men  (Multicolor),"₹1,099",63% off,https://www.flipkart.com/fabbmate-combo-men-s-casual-shoes-pack-3-sneakers-men/p/itm0fd65b051d2eb?pid=DHYFH2V2HEQDJSFY&lid=LSTDHYFH2V2HEQDJSFYWII0WC&marketplace=FLIPKART&srno=s_3_99&otracker=search&otracker1=search&fm=organic&iid=0c7ce0e4-0695-429a-8e7c-899050b9255f.DHYFH2V2HEQDJSFY.SEARCH&ssid=15jzp1qfuo0000001611754414942&qH=a1743c0d39461290
French Connection ,"Sneakers For Men  (Navy, White)",₹849,57% off,https://www.flipkart.com/french-connection-sneakers-men/p/itmfeqdgzfrasm6v?pid=SHOFE6AU3UHWKZGW&lid=LSTSHOFE6AU3UHWKZGWB1ZCBC&marketplace=FLIPKART&srno=s_3_100&otracker=search&otracker1=search&fm=organic&iid=en_oTjubeuw%2BE7%2B6MAObqcefUusWfHpS8mnqcFmHJOeO5SpodRjCCP0kWjXA%2FXwNrFdkVsaAOP0QG9UKvG4VN%2B12w%3D%3D&ssid=15jzp1qfuo0000001611754414942&qH=a1743c0d39461290
