Brand,Product_description,price,Link
Nike,Men Zoom Running Shoes,Rs. 6399,https://www.myntra.com/sports-shoes/nike/nike-men-black-zoom-winflo-7-running-shoes/11652600/buy
Nike,Men JORDAN ZOOM '92 Shoes,Rs. 9699,https://www.myntra.com/sports-shoes/nike/nike-men-black-jordan-zoom-92-basketball-shoes/11980096/buy
Nike,Men JORDAN ZOOM '92 Shoes,Rs. 9699,https://www.myntra.com/sports-shoes/nike/nike-men-black-jordan-zoom-92-leather-mid-top-basketball-shoes/12738330/buy
Kenneth Cole,Men Solid Formal Genuine Leather Derbys,Rs. 6153,https://www.myntra.com/formal-shoes/kenneth-cole/kenneth-cole-men-black-solid-formal-genuine-leather-derbys/13135142/buy
Nike,Men JORDAN DELTA Basketball,Rs. 8999,https://www.myntra.com/sports-shoes/nike/nike-men-black-jordan-delta-basketball-shoes/12738432/buy
Nike,Women REACT PHANTOM Running,Rs. 8699,https://www.myntra.com/sports-shoes/nike/nike-women-black--beige-react-phantom-running-shoes/12738480/buy
Nike,Men Solid SKYVE MAX Sneakers,Rs. 6599,https://www.myntra.com/casual-shoes/nike/nike-men-black-solid-skyve-max-sneakers/11980126/buy
Nike,Men React Infinity Running,Rs. 11099,https://www.myntra.com/sports-shoes/nike/nike-men-black-react-infinity-running-shoe/11980034/buy
ALDO,Women Solid Sneakers,Rs. 7199,https://www.myntra.com/casual-shoes/aldo/aldo-women-black-sneakers/13285026/buy
Nike,Men JORDAN DELTA Sneakers,Rs. 7699,https://www.myntra.com/casual-shoes/nike/nike-men-black--beige-jordan-delta-sneakers/11979792/buy
Nike,Men REACT PHANTOM Running,Rs. 7799,https://www.myntra.com/sports-shoes/nike/nike-men-black-react-phantom-running-shoes/12738532/buy
Nike,PEGASUS FLYEASE Running Shoes,Rs. 7999,https://www.myntra.com/sports-shoes/nike/nike-men-black-air-zoom-pegasus-37-flyease-running-shoes/11980064/buy
Nike,Men ZOOM Basketball Shoes,Rs. 6699,https://www.myntra.com/sports-shoes/nike/nike-men-black-zoom-freak-2-leather-basketball-shoes/12738366/buy
Nike,Women REACT Running Shoes,Rs. 8599,https://www.myntra.com/sports-shoes/nike/nike-women-black-react-phantom-run-fk-2-running-shoes/11979848/buy
Geox,Women Slip-On Sneakers,Rs. 8499,https://www.myntra.com/casual-shoes/geox/geox-women-black-sequinned-slip-on-sneakers/10018963/buy
Nike,AIR ZOOM PEGASUS Running Shoes,Rs. 8899,https://www.myntra.com/sports-shoes/nike/nike-men-black-air-zoom-pegasus-37-running-shoes/11979982/buy
Geox,Leather Mid-Top Chelsea Boots,Rs. 8999,https://www.myntra.com/casual-shoes/geox/geox-men-black-solid-leather-mid-top-chelsea-boots/13131968/buy
Nike,Men KD13 EP Basketball Shoes,Rs. 9299,https://www.myntra.com/sports-shoes/nike/nike-men-black-kd13-ep-mid-top-basketball-shoes/11980028/buy
Geox,Men Solid Leather Sneakers,Rs. 6599,https://www.myntra.com/casual-shoes/geox/geox-men-black-solid-leather-sneakers/10884622/buy
ADIDAS Originals,Men Superstar Sneakers,Rs. 9299,https://www.myntra.com/casual-shoes/adidas-originals/adidas-originals-men-black-perforated-superstar-sneakers/12709158/buy
Nike,Women AIR ZOOM Running Shoes,Rs. 7699,https://www.myntra.com/sports-shoes/nike/nike-women-black-air-zoom-pegasus-37-flyease-running-shoes/11979906/buy
ADIDAS,Solar Drive 19 Running Shoes,Rs. 9199,https://www.myntra.com/sports-shoes/adidas/adidas-men-black--charcoal-grey-woven-design-solar-drive-19-running-shoes/12031642/buy
ADIDAS Originals,Men Nite Jogger Shoes,Rs. 11499,https://www.myntra.com/sports-shoes/adidas-originals/adidas-originals-men-black-woven-design-nite-jogger-shoes/11353040/buy
ADIDAS Originals,Men Swift Run Sneakers,Rs. 6299,https://www.myntra.com/casual-shoes/adidas-originals/adidas-originals-men-black--white-swift-run-woven-design-sneakers/11353636/buy
Nike,Women AIR MAX VG-R Sneakers,Rs. 6199,https://www.myntra.com/casual-shoes/nike/nike-women-black--white-air-max-vg-r-colourblocked-sneakers/11980086/buy
ALDO,Men Leather Loafers,Rs. 7799,https://www.myntra.com/casual-shoes/aldo/aldo-men-black-leather-loafers/12668052/buy
ADIDAS Originals,Men NMD R1 Sneakers,Rs. 10999,https://www.myntra.com/casual-shoes/adidas-originals/adidas-originals-men-black-woven-design-nmd-r1-sneakers/11353616/buy
Skechers,Men Running Shoes,Rs. 6499,https://www.myntra.com/sports-shoes/skechers/skechers-men-black-go-run-ride-7-running-shoes/5648944/buy
Geox,Men Leather Formal Derbys,Rs. 7794,https://www.myntra.com/formal-shoes/geox/geox-men-black-solid-leather-formal-derbys/11708826/buy
ADIDAS,Men Alphatorsion Running Shoes,Rs. 7699,https://www.myntra.com/sports-shoes/adidas/adidas-men-black-self-striped-alphatorsion-running-shoes/12031738/buy
Cole Haan,Women Woven Design Sneakers,Rs. 7499,https://www.myntra.com/casual-shoes/cole-haan/cole-haan-women-black-zerogrand-global-trainer-sneakers/11910804/buy
Cole Haan,Women Leather Open Toe Flats,Rs. 6499,https://www.myntra.com/flats/cole-haan/cole-haan-women-black-solid-leather-open-toe-flats/11910814/buy
Geox,Men Leather Driving Shoes,Rs. 9999,https://www.myntra.com/casual-shoes/geox/geox-men-black-leather-driving-shoes/10029207/buy
Geox,Women Leather Flatform Boots,Rs. 8249,https://www.myntra.com/casual-shoes/geox/geox-women-black-solid-leather-flatform-boots/13131904/buy
UNDER ARMOUR,Charged Impulse Running Shoes,Rs. 7999,https://www.myntra.com/sports-shoes/under-armour/under-armour-women-black-woven-design-charged-impulse-running-shoes/11373518/buy
ALDO,Women Solid Sneakers,Rs. 7999,https://www.myntra.com/casual-shoes/aldo/aldo-women-black-solid-sneakers/10549544/buy
Nike,Men DBREAK-TYPE Sneakers,Rs. 6399,https://www.myntra.com/casual-shoes/nike/nike-men-black-dbreak-type-sneakers/11652634/buy
Cole Haan,Men GENERATION ZEROGRAND STITCHLITE,Rs. 8999,https://www.myntra.com/casual-shoes/cole-haan/cole-haan-men-black-generation-zerogrand-stitchlite-sneakers/11052214/buy
Nike,Women AIR MAX VERONA Sneakers,Rs. 7699,https://www.myntra.com/casual-shoes/nike/nike-women-black-air-max-verona-sneakers/11979820/buy
Cole Haan,Women Woven Design Slip-On Sneakers,Rs. 7499,https://www.myntra.com/casual-shoes/cole-haan/cole-haan-women-black-woven-design-slip-on-sneakers/11910818/buy
Geox,Men Leather Mid-Top Brogues,Rs. 8999,https://www.myntra.com/casual-shoes/geox/geox-men-black-textured-leather-mid-top-brogues/11107518/buy
Geox,Men Leather Formal Slip-Ons,Rs. 7494,https://www.myntra.com/formal-shoes/geox/geox-men-black-solid-leather-formal-slip-ons/11708772/buy
Geox,Men Leather Driving Shoes,Rs. 7999,https://www.myntra.com/casual-shoes/geox/geox-men-black-solid-leather-driving-shoes/11107532/buy
UNDER ARMOUR,Men HOVR Sonic 3 Running Shoes,Rs. 10999,https://www.myntra.com/sports-shoes/under-armour/under-armour-men-black-woven-design-hovr-sonic-3-running-shoes/11373560/buy
Geox,Men Leather Formal Oxfords,Rs. 10490,https://www.myntra.com/formal-shoes/geox/geox-men-black-solid-leather-formal-oxfords/11774934/buy
UNDER ARMOUR,Charged Bandit 5 Running Shoes,Rs. 7999,https://www.myntra.com/sports-shoes/under-armour/under-armour-men-black--pink-woven-design-charged-bandit-5-running-shoes/11373480/buy
Geox,Men Solid Leather Sneakers,Rs. 8999,https://www.myntra.com/casual-shoes/geox/geox-men-black-solid-leather-sneakers/11107534/buy
Cole Haan,Women Leather Loafers,Rs. 6499,https://www.myntra.com/casual-shoes/cole-haan/cole-haan-women-black-leather-loafers/11578206/buy
Geox,Men Leather Formal Derbyacs,Rs. 8994,https://www.myntra.com/formal-shoes/geox/geox-men-black-solid-leather-formal-derbys/11774872/buy
Xtep,Men Running Shoes,Rs. 9349,https://www.myntra.com/sports-shoes/xtep/xtep-men-black-textile-high-top-running-shoes/12679004/buy
Cole Haan,Men Traveller Leather Penny Loafers,Rs. 9999,https://www.myntra.com/casual-shoes/cole-haan/cole-haan-men-black--zerogrand-all-day-stitchlite-runner-sneakers/11578266/buy
Cole Haan,Men Wingtip Oxford Sneakers,Rs. 9749,https://www.myntra.com/casual-shoes/cole-haan/cole-haan-men-black-originalgrand-stitchlite-wingtip-oxford-sneakers/11052208/buy
Xtep,,Rs. 9349,https://www.myntra.com/sports-shoes/xtep/xtep-men-black-textile-high-top-running-shoes/12679004/buy
Kenneth Cole,Men Solid Leather Formal Derbys,Rs. 6293,https://www.myntra.com/formal-shoes/kenneth-cole/kenneth-cole-men-black-solid-leather-formal-derbys/12651380/buy
UNDER ARMOUR,Men Charged Impulse Knit,Rs. 8999,https://www.myntra.com/sports-shoes/under-armour/under-armour-men-black--charcoal-grey-charged-impulse-knit-woven-design-running-shoes/11373524/buy
Cole Haan,Women Leather Open Toe Flats,Rs. 5999,https://www.myntra.com/flats/cole-haan/cole-haan-women-black-solid-leather-open-toe-flats/13185200/buy
Ruosh,Men Solid Leather Formal Slip-Ons,Rs. 6990,https://www.myntra.com/formal-shoes/ruosh/ruosh-men-black-solid-leather-formal-slip-ons/11714640/buy
ADIDAS Originals,Men Nite Jogger Fluid Sneakers,Rs. 10599,https://www.myntra.com/casual-shoes/adidas-originals/adidas-originals-men-black-charcoal-grey-woven-design-nite-jogger-fluid-sneakers/12709294/buy
ALDO,Women Heeled Boots,Rs. 8999,https://www.myntra.com/heels/aldo/aldo-women-black-solid-leather-heeled-boots/13324532/buy
ADIDAS Originals,Men Ozweego Sneakers,Rs. 9299,https://www.myntra.com/casual-shoes/adidas-originals/adidas-originals-men-black--charcoal-grey-self-design-ozweego-sneakers/11352776/buy
Cole Haan,Women Open Toe Flats,Rs. 8999,https://www.myntra.com/flats/cole-haan/cole-haan-women-black-solid-leather-open-toe-flats/10612998/buy
Geox,Women Leather Flat Boots,Rs. 9749,https://www.myntra.com/casual-shoes/geox/geox-women-black-solid-leather-high-top-flat-boots/10884620/buy
DAVINCHI,Solid Leather Slip-On Shoes,Rs. 7990,https://www.myntra.com/formal-shoes/davinchi/davinchi-black-solid-formal-leather-slip-on-shoes/13220678/buy
Geox,Leather Mid-Top Chelsea Boots,Rs. 8999,https://www.myntra.com/casual-shoes/geox/geox-men-black-solid-leather-mid-top-chelsea-boots/13131968/buy
Puma,Men Hydra Running Shoes,Rs. 6199,https://www.myntra.com/sports-shoes/puma/puma-men-black-lqdcell-hydra-running-shoes/12282264/buy
Vans,Unisex Solid Sneakers,Rs. 7499,https://www.myntra.com/casual-shoes/vans/vans-unisex-black-solid-sneakers/12295830/buy
Geox,Men Solid Leather Sneakers,Rs. 6599,https://www.myntra.com/casual-shoes/geox/geox-men-black-solid-leather-sneakers/10884622/buy
UNDER ARMOUR,HOVR Sonic 3 Running Shoes,Rs. 10999,https://www.myntra.com/sports-shoes/under-armour/under-armour-women-black-woven-design-bluetooth-hovr-sonic-3-running-shoes-/11634252/buy
ADIDAS Originals,Men Superstar Sneakers,Rs. 9299,https://www.myntra.com/casual-shoes/adidas-originals/adidas-originals-men-black-perforated-superstar-sneakers/12709158/buy
Geox,Men Leather Formal Monks,Rs. 9599,https://www.myntra.com/formal-shoes/geox/geox-men-black-leather-formal-monks/10029399/buy
UNDER ARMOUR,Women Liquify Rebel Running,Rs. 8999,https://www.myntra.com/sports-shoes/under-armour/under-armour-women-black--charcoal-grey-woven-design-liquify-rebel-running-shoes/12247064/buy
Tommy Hilfiger,Men TS PRO 1 Sneakers,Rs. 6399,https://www.myntra.com/casual-shoes/tommy-hilfiger/tommy-hilfiger-men-black-ts-pro-1-sneakers/12449002/buy
Cole Haan,Women Leather Sneakers,Rs. 8249,https://www.myntra.com/casual-shoes/cole-haan/cole-haan-women-black-leather-sneakers/8199511/buy
Vans,Men Striped Sneakers,Rs. 9999,https://www.myntra.com/casual-shoes/vans/vans-men-black-ave-pro-sneakers/12295810/buy
UNDER ARMOUR,Men Liquify Running Shoes,Rs. 10999,https://www.myntra.com/sports-shoes/under-armour/under-armour-men-black--blue-liquify-woven-design-running-shoes/12819536/buy
Kenneth Cole,Men Solid Formal Genuine Leather Derbys,Rs. 6153,https://www.myntra.com/formal-shoes/kenneth-cole/kenneth-cole-men-black-solid-formal-genuine-leather-derbys/13135142/buy
Cole Haan,Women Solid Leather Ballerinas,Rs. 10499,https://www.myntra.com/flats/cole-haan/cole-haan-women-black-solid-leather-ballerinas/11426342/buy
Cole Haan,Women ZeroGrand All Day Stitchlite Runner Sneakers,Rs. 7999,https://www.myntra.com/casual-shoes/cole-haan/cole-haan-women-black-woven-design-synthetic-leather-mid-top-sneakers/11578218/buy
Ruosh,Men Solid Leather Formal Monks,Rs. 6990,https://www.myntra.com/formal-shoes/ruosh/ruosh-men-black-solid-leather-formal-monks/11714648/buy
KIPRUN By Decathlon,Men Running Shoes,Rs. 7499,https://www.myntra.com/sports-shoes/kiprun-by-decathlon/kiprun-by-decathlon-men-black-synthetic-running-shoes/13059410/buy
Heel & Buckle London,Men Leather Formal Oxfords,Rs. 7693,https://www.myntra.com/formal-shoes/heel--buckle-london/heel--buckle-london-men-black-solid-leather-formal-oxfords/10878290/buy
FILA,Women Printed Sneakers,Rs. 7999,https://www.myntra.com/casual-shoes/fila/fila-women-black--printed-sneakers/11708852/buy
Geox,Men Leather Formal Derbys,Rs. 7794,https://www.myntra.com/formal-shoes/geox/geox-men-black-solid-leather-formal-derbys/11708826/buy
Cole Haan,Women Woven Design Sneakers,Rs. 7499,https://www.myntra.com/casual-shoes/cole-haan/cole-haan-women-black-zerogrand-global-trainer-sneakers/11910804/buy
Xtep,Men Colourblocked Running Shoes,Rs. 5999,https://www.myntra.com/sports-shoes/xtep/xtep-men-black--white-colourblocked-running-shoes/13472504/buy
ALDO,Women Solid Sneakers,Rs. 7199,https://www.myntra.com/casual-shoes/aldo/aldo-women-black-sneakers/13285026/buy
Geox,Women Slip-On Sneakers,Rs. 8499,https://www.myntra.com/casual-shoes/geox/geox-women-black-sequinned-slip-on-sneakers/10018963/buy
Tommy Hilfiger,Men Solid TS Sport 2 Sneakers,Rs. 6079,https://www.myntra.com/casual-shoes/tommy-hilfiger/tommy-hilfiger-men-black-solid-ts-sport-2-sneakers/12448840/buy
Tommy Hilfiger,Men Solid Sneakers,Rs. 6079,https://www.myntra.com/casual-shoes/tommy-hilfiger/tommy-hilfiger-men-black-sneakers/12448814/buy
ALDO,Women Pumps,Rs. 6599,https://www.myntra.com/heels/aldo/aldo-women-black-solid-pumps/13324548/buy
Ruosh,Men Textured Derbys,Rs. 8990,https://www.myntra.com/formal-shoes/ruosh/ruosh-work-men-black-rare-leather-textured-derbys/2035827/buy
Clarks,Men Leather Mid-Top Derbys,Rs. 8999,https://www.myntra.com/casual-shoes/clarks/clarks-men-black-solid-leather-mid-top-derbys/9849855/buy
Tommy Hilfiger,Men LOGO TAPE DRIVER Loafers,Rs. 6019,https://www.myntra.com/casual-shoes/tommy-hilfiger/tommy-hilfiger-men-black-solid-logo-tape-driver-leather-loafers/13096922/buy
CHARLES & KEITH,Women Sandals,Rs. 5999,https://www.myntra.com/heels/charles--keith/charles--keith-women-black-solid-sandals/13191364/buy
Tommy Hilfiger,Men Colourblocked Sneakers,Rs. 7419,https://www.myntra.com/casual-shoes/tommy-hilfiger/tommy-hilfiger-men-black--white-colourblocked-sneakers/11662142/buy
Tommy Hilfiger,Men Heritage Leather Sneakers,Rs. 7199,https://www.myntra.com/casual-shoes/tommy-hilfiger/tommy-hilfiger-men-black-solid-heritage-seasonal-leather-sneakers/12448966/buy
UNDER ARMOUR,Women Charged Breathe TR 2,Rs. 7999,https://www.myntra.com/sports-shoes/under-armour/under-armour-women-black--charcoal-grey-woven-design-charged-breathe-tr-2-training-shoes/12247108/buy
Puma,SPEED Orbiter Running Shoes,Rs. 9699,https://www.myntra.com/sports-shoes/puma/puma-women-black-speed-orbiter-running-shoes/12282290/buy
Tommy Hilfiger,CHUNKY TECH Leather Sneakers,Rs. 7199,https://www.myntra.com/casual-shoes/tommy-hilfiger/tommy-hilfiger-men-black-chunky-tech-runner-leather-sneakers/12449000/buy
UNDER ARMOUR,Women HOVR Rise 2 Training,Rs. 9999,https://www.myntra.com/sports-shoes/under-armour/under-armour-women-black-hovr-rise-2-training-shoes/12247240/buy
